TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
ABCA10	164.127	244.0997	244.3992	321.134	271.2715	528.9627	810.4921	517.3987	275.8463	238.37	1.2606	5.8373	39.4191	14.6548	5.5638	1.0391	5.0767	1.2356	5.9139	20.5326	17.0199
ABCA11P	151.2349	93.1453	89.2159	78.433	104.9616	119.6632	164.8963	168.3227	129.8679	156.8072	96.3	317.9642	130.9284	110.0116	138.197	42.1665	97.0024	161.1285	56.4665	83.1954	58.9017
ABCA12	194.9206	280.583	4.5825	3.0928	35.1287	9.8788	0	36.1392	18.3416	783.8546	1533.8796	240.0584	37.8631	8.87	10.0843	12.4692	16.1532	3.7068	8.1316	21.3881	10.5973
ABCA13	8.5714	3.385	9.6741	3.0928	16.1006	5.8374	0.4067	49.7361	1.8041	49.7419	0.6303	64.575	21.7842	10.4126	29.5575	82.0886	17.0763	0.8237	67.2704	170.6769	11.8818
ABCA17P	11.1111	6.7701	4.5825	3.0928	4.879	8.5317	6.5067	7.8719	5.4123	4.4712	28.6795	67.1288	15.0415	0.7713	18.0822	35.3293	8.7689	7.4135	1.8481	5.5609	16.0565
ABCA2	1164.7619	1581.5703	1626.2729	979.3814	1973.0607	1634.9349	1793.8186	1019.4114	1368.407	1582.2405	1105.5783	1438.1613	245.8506	706.1319	993.1322	563.7096	161.0707	575.3707	293.1066	617.6879	551.702
ABCA3	1494.9206	1934.7438	933.8086	801.5464	965.5507	1284.6879	1151.281	802.5763	899.0413	1829.5529	777.1825	1668.3692	383.2988	385.268	1717.465	705.5462	1953.6172	465.8155	813.8976	1032.1891	469.8137
ABCA4	153.6508	39.8684	7.6375	24.7423	106.3618	57.4764	28.8735	202.8804	89.0021	56.7282	0.6303	2.5538	14.0041	0	8.3456	21.821	13.8456	14.4152	15.5239	8.1275	3284.8426
ABCA5	626.6667	602.5388	943.9919	737.6289	726.9685	966.3224	1115.0874	1035.8708	543.514	728.2442	285.8494	74.4254	536.8257	291.5542	275.4064	34.2902	189.685	46.5404	144.1508	313.9771	218.0475
ABCA6	335.5556	524.3065	1182.7902	1309.7938	1004.5826	1127.0768	1929.6462	963.2346	1058.1024	297.6132	3.1516	163.444	57.5726	53.9915	25.3847	10.391	31.8449	0.8237	24.0251	200.1925	152.2158
ABCA7	387.9365	479.5487	205.7026	241.2371	329.8192	362.3709	261.8951	147.4193	279.0335	260.4465	63.9773	300.2554	327.2822	307.366	127.9666	50.3962	122.7645	129.3245	102.7536	394.8241	307.964
ABCA8	773.3333	1976.8688	5814.664	4790.2062	4396.9394	2976.6502	7367.2224	2817.0677	1972.4785	956.2746	1.2606	41.9555	36.8257	28.924	1.3909	2.5977	17.0763	0.4119	30.3086	51.7592	122.9929
ABCA9	396.1905	1042.5952	2514.7658	2755.1546	853.3341	1022.9008	3270.8418	3228.5535	1528.0695	464.7238	0.9455	13.4987	71.0581	20.8253	16.6913	5.1955	11.0765	0.8237	25.5036	62.4532	120.4239
ABCB1	468.254	152.7033	206.2118	141.7526	209.7963	255.5007	185.8479	366.4013	328.3455	642.1739	2.2061	41.5907	60.166	195.9121	36.5122	6.7541	50.7673	8.2372	51.7464	261.3624	72.5755
ABCB10	256.1905	325.717	374.7454	492.268	376.6575	410.8666	594.5506	435.1015	382.7691	499.9343	217.4598	356.8041	238.5892	309.6799	1222.6376	527.3412	437.0601	575.3707	1097.0246	612.127	901.7341
