TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
HYALP1	0	0	0	0	0	0	0	0	0	0	0	0.3648	0	0	0	0	0	0	0	0	0
HYDIN	95.2381	33.0983	20.3666	25.7732	68.3058	53.4351	32.1269	156.3646	71.8632	125.7521	64.2925	4.0131	102.6971	24.2962	17.7345	63.3849	19.3839	37.4794	24.0251	20.5326	344.894
HYI	673.1111	621.2431	584.9593	439.2526	427.5453	398.8909	592.5946	337.3575	483.1911	261.7348	372.1368	358.9858	332.64	229.3752	257.0112	267.8322	167.2228	483.715	236.6919	246.3352	182.7938
HYKK	56.5079	41.7489	106.4155	49.4845	54.1567	84.8675	104.1074	94.8206	60.1365	44.7118	25.2127	12.4042	20.7469	28.5384	30.9484	94.0382	25.3836	44.0692	49.5287	23.9547	19.2678
HYLS1	128.8889	109.826	77.9022	101.5464	77.0879	67.8042	84.1806	116.2895	90.5055	161.5215	648.9127	239.3287	248.444	156.5754	371.7291	108.066	267.2205	478.1713	598.4106	159.1274	128.131
HYMAI	3.2095	2.2567	4.0733	0	0.9856	12.6493	7.3363	5.0344	1.2057	2.8029	4.5667	2.6195	44.6058	3.8565	9.6497	4.6759	1.3846	8.8633	4.4872	4.2905	18.343
HYOU1	3433.3333	2562.8585	1362.5255	2047.4227	2158.9499	1696.9017	987.7999	2300.3846	2512.8053	4766.2828	5124.1727	4719.0806	2379.668	5234.4774	6878.9012	1170.5416	5699.7808	8919.687	11611.9017	4319.9658	3068.0796
HYPK	702.3143	774.8228	664.613	581.4433	290.2995	381.2304	235.4941	257.9837	488.9101	625.4069	323.6685	550.9194	957.3237	1062.4759	636.3557	883.3719	951.6557	1212.9325	720.754	657.5168	384.7527
HYPM	0	0	0	0	0	0.449	0	0	0	0.2794	0	0	0	0	0	0	0	0	0	0	0
IAH1	571.4286	704.4664	1120.1629	750.5155	786.0041	829.8159	1076.4538	608.2834	614.8961	424.7625	531.0432	570.9595	885.8921	577.3236	519.1689	1052.0847	336.4486	948.1054	583.6259	603.5718	386.3198
IAPP	0	0	0	0	0	0	0	0	0	0	0	0	1.0373	0	0	0	0	0	0	0	0.3211
IARS	1993.6508	1725.9991	2241.8534	1989.6907	2476.5717	2566.6816	2006.5067	2737.2752	2179.0475	3469.3598	6720.1387	6291.8643	2294.0871	2059.005	5236.1993	2764.5149	3534.7871	2064.2504	8626.5016	2665.8111	3744.3802
IARS2	2483.1746	2956.6526	4209.2668	3189.1753	3648.5034	3302.6493	5971.1265	3168.4408	2788.5314	2732.1732	1934.7621	2917.9132	1377.0747	4023.1392	3399.461	2427.8478	3216.3378	6877.6771	4490.1127	3198.3745	5492.2929
IBA57	310.4762	302.3977	250	270.6186	268.832	262.6852	319.6421	233.2946	249.5666	361.3276	196.029	298.7961	125.5187	158.118	436.7556	473.3082	495.6732	365.7331	807.9837	349.0536	931.9204
IBSP	2.2222	0	0	0	0	0	0.4067	0	0	1.6767	64.9228	7.2966	31.639	22.3679	13.2139	21.3015	58.1516	17.71	17.0024	1.711	26.0116
IBTK	1291.4286	1110.2962	1514.7658	1187.6289	1471.5013	1273.013	1959.7397	1838.0893	1441.1722	1627.2317	1025.8431	1364.4655	781.1203	692.2484	671.1293	242.1094	1245.6444	799.8353	1190.1682	1016.7896	1120.4239
ICA1	916.8254	766.5256	384.9287	297.4227	498.1442	599.4612	706.7914	495.5721	516.8736	582.9307	399.3066	617.6578	1198.1328	486.3093	311.9186	227.562	538.1331	416.3921	450.9333	451.2886	436.4162
ICA1L	115.2381	124.1185	146.1303	125.7732	144.4179	118.0961	213.9081	184.6319	134.1045	139.1656	289.6313	51.0762	22.8216	56.6911	40.685	238.4725	14.3071	91.4333	84.6424	88.1189	105.0096
ICAM1	728.254	920.7334	934.8269	1090.2062	1399.2923	612.9322	1140.7076	640.4866	995.8611	1016.3562	288.6858	3274.7173	1681.0166	4141.9206	1110.319	256.1372	4167.532	8137.1499	5640.7318	3307.4537	4915.5427
ICAM2	535.819	989.3183	914.6283	970.5979	1219.1066	1252.4248	1079.5527	555.9818	837.1938	515.6701	143.514	455.2973	445.6691	476.6911	248.8047	535.7995	303.076	71.3468	208.4384	864.0573	322.0649
ICAM3	366.0317	665.3503	386.4562	295.3608	440.5722	307.1396	378.6092	152.7865	319.325	377.8151	72.4866	364.1007	513.4855	587.7362	260.1061	171.4508	341.5253	411.0379	457.5864	1411.186	585.0996
ICAM4	12.381	13.9163	3.5642	7.2165	4.3911	7.6336	5.2867	7.8719	13.8314	17.6053	0.6303	43.4148	8.8174	20.4396	2.7819	1.5586	8.3074	12.3558	15.8936	27.8045	24.4059
ICAM5	51.746	10.1551	2.0367	2.5773	10.2459	20.2066	2.0333	7.1563	10.8246	34.3722	8.5093	368.4787	0	4.2422	45.5533	13.5082	0.4615	4.5305	5.9139	3.8499	135.8382
ICE1	1112.0635	813.1641	1293.279	1162.3711	1364.1636	1453.0759	1492.4766	1691.7434	1338.9401	1476.3293	2914.2767	2307.552	790.4564	981.8743	1804.0511	379.27	1546.0944	2048.5997	1614.8586	1600.6844	1407.8356
ICE2	933.9683	746.2153	1141.0387	999.4845	1103.6259	1022.4517	1908.0927	1335.7188	948.3532	972.2032	517.1762	675.301	415.4564	486.6949	1015.735	597.9997	808.1228	904.86	847.1632	850.8181	681.1175
ICK	679.3651	635.637	1105.3971	871.134	937.7405	984.7328	1226.5148	1295.2858	990.4488	858.188	1075.323	446.5524	423.2365	701.8897	550.1174	419.2752	1163.4937	442.3394	603.2157	1136.9907	863.5196
ICMT	2237.4603	2524.8707	3298.3707	3236.5979	3240.6205	2616.0754	2777.1452	2449.2352	2511.9033	2741.3951	4197.6048	4715.7972	2778.527	1917.8558	2901.504	4758.5401	2234.6833	2998.7644	3065.2375	1624.2113	2667.9512
ICOS	12.0635	7.1462	7.1283	2.5773	5.8548	6.7355	3.66	6.4406	9.6218	23.1943	0.9455	52.1707	99.0664	220.2083	114.4049	3.1173	174.9163	49.8353	54.7034	363.1697	157.675
ICOSLG	248.8889	138.4109	106.9246	125.2577	131.2446	235.7432	122.0008	328.473	314.5141	513.9068	471.7933	393.2871	287.8631	354.8014	754.238	601.6366	778.1239	214.5799	475.328	581.3282	536.2877
ICT1	425.7143	379.1255	322.8106	266.4948	292.739	300.8532	289.9553	228.643	253.4755	319.9691	329.6565	597.5921	1550.8299	514.462	305.6594	777.2438	598.1308	470.7578	503.419	299.861	238.921
ID1	799.3651	633.3803	754.5825	644.3299	580.1111	259.542	970.3131	352.0887	842.5129	389.2725	125.7485	685.1514	340.249	167.7594	175.9541	179.2441	247.8366	1071.6639	155.6089	452.1442	136.8015
ID2	714.9206	1157.6869	778.0041	929.3814	1176.3228	1253.2555	1056.527	1487.7896	1206.9404	836.6704	2459.8172	1795.695	1556.0166	1783.2626	1605.842	854.6564	2779.7392	1215.4036	1305.1192	1336.3277	2298.9724
ID2B	4.127	3.385	1.0183	3.6082	2.4395	4.9394	4.4734	4.6516	4.2096	2.7945	0.3152	1.0945	1.0373	1.157	1.3909	1.0391	3.6922	1.6474	0.7392	0.4278	1.2845
ID3	1137.7778	1151.669	1066.7006	863.4021	1667.6364	934.89	1330.6222	670.543	1250.84	502.1699	244.5635	1142.2838	1191.39	545.7	184.2997	684.2447	683.9737	632.2076	928.1094	712.6511	961.4644
ID4	1147.9365	1046.7325	764.2566	367.5258	881.1443	1255.9497	717.3648	2330.441	1749.3719	1555.6928	183.7378	918.6428	2219.3983	364.4427	2481.4396	631.2508	82.6122	835.2554	179.2645	734.8947	1478.8054
IDE	395.2381	359.9436	648.6762	648.9691	696.2309	470.5882	478.6499	600.4115	395.9991	726.0086	826.9776	299.8906	244.2946	473.5827	85.8906	245.2267	719.5108	396.6227	471.6319	683.5633	754.6564
IDH1	2821.5873	4338.8811	5176.6802	5690.7216	5382.0061	3424.7867	8392.0293	2912.2462	2537.4613	2747.8224	443.1138	1381.9774	2566.9087	3046.6641	998.696	1170.5416	2204.2229	1393.3278	1353.5391	1850.925	1651.5735
IDH2	2653.6508	2562.8585	907.332	1091.7526	1352.4541	1130.6691	642.9443	1062.349	1262.5667	2593.846	4655.2159	2620.5764	7494.8133	6908.9857	9411.4579	1934.2772	4417.6762	4112.0264	5233.783	4446.1555	3654.1426
IDH3A	818.4127	936.5303	1474.5418	958.7629	1445.1547	1055.6803	1764.1318	837.642	958.8771	764.852	2119.7605	700.8391	840.249	835.7115	1360.3408	913.8849	733.3564	1622.3229	1736.4628	863.2232	710.3404
IDH3B	1379.3651	1457.8279	1486.7617	1200.5155	1115.8234	1218.2308	1507.5234	989.355	1301.3547	1139.0343	1170.1859	2348.0482	1528.527	1144.2345	1316.8739	1191.3235	2388.3697	1473.6409	1481.0571	766.549	1594.4123
IDH3G	1045.0794	1137.7527	872.7088	769.5876	733.799	835.6533	838.9589	669.4695	877.3921	863.2181	1227.5449	774.8997	2115.6639	781.3344	1351.9951	1134.1733	1272.8741	2567.9572	1646.2761	969.7359	667.3089
IDI1	1207.473	1967.8157	724.5774	610.933	1027.1235	792.7301	980.5531	684.716	773.9783	2159.0708	1225.4207	578.1576	841.3122	624.5623	1531.0858	2181.2183	1403.7106	702.7142	3879.538	1503.5141	878.4136
IDI2	82.2222	65.8204	51.4257	39.6907	42.935	88.9088	51.2403	85.1597	78.1775	86.6292	127.3243	59.1025	40.4564	34.7088	131.7917	209.3778	41.9984	107.4959	155.6089	106.5127	78.3558
IDI2-AS1	7.1302	14.6385	11.6752	16.9021	12.0999	21.3696	15.3802	7.6536	6.8947	18.6756	8.7425	3.0171	78.8122	5.2102	18.0753	31.017	15.004	4.0404	23.9919	15.0401	49.0109
IDNK	166.6667	195.2045	230.1426	129.3814	136.1236	115.4019	107.3607	118.7942	134.4052	84.1142	48.2194	33.5644	181.0166	72.5029	22.6028	89.3623	28.6143	18.5338	24.0251	75.7138	81.5671
IDO1	80.3175	115.4678	67.7189	136.0825	160.5185	114.9529	32.5336	30.772	94.4144	61.7582	6.9335	121.4885	1229.2531	3115.3105	498.3048	10.9105	2856.3517	322.4876	235.0767	3833.1729	854.8491
IDO2	2.8571	0	0	0	0.9758	0.449	0	0	1.5034	4.1917	0	2.5538	9.3361	15.0405	3.4774	0	5.0767	1.2356	2.9569	17.966	5.1381
IDS	2891.5333	2855.8007	4142.5662	3650.8763	3366.3323	3662.8783	3998.9589	6569.389	4468.8906	3351.3764	3597.8033	1890.7698	1663.0342	2621.4539	2873.4904	1668.8609	2833.7556	3252.4423	1988.8486	3342.3762	3183.4457
IDUA	346.0159	282.2116	91.1405	159.1959	143.93	134.6924	102.074	153.4985	202.9518	230.5315	5.6729	68.5881	375.4616	210.5476	106.0315	88.3232	83.9968	70.4201	20.6986	150.555	198.0572
IER2	2194.6032	3441.4669	2875.7637	1034.0206	1058.7393	2997.3058	1797.8853	939.6189	1935.1939	1709.3898	1403.0886	2254.2868	12672.7178	2079.8303	1077.9797	1910.378	1929.6181	2130.5601	3145.0748	4585.1781	2690.4303
IER3	1909.2063	859.8025	336.558	232.9897	466.4308	536.1473	410.3294	406.4764	424.2633	1042.6244	833.596	381.9774	7732.8838	1306.209	206.5548	1320.1715	729.2027	7595.9638	3224.9122	721.634	674.0527
IER3IP1	1060.9524	939.5393	633.4012	790.7216	751.8513	704.0862	827.9789	922.4439	937.5287	860.1441	1682.0044	1264.8668	1093.361	871.963	1370.4251	3498.1166	827.5066	1216.2273	3416.3741	864.5065	700.3854
IER5	910.4762	840.6206	409.8778	382.4742	442.0359	585.5411	266.3684	733.1604	946.8498	970.806	473.6842	852.6085	589.7303	703.0467	401.9821	1225.0942	1994.6925	1338.5502	444.6498	2131.109	1083.1728
IER5L	215.5556	161.354	41.2424	80.4124	82.4548	44.0054	54.4937	91.2425	107.6444	158.1682	345.7296	357.5337	1048.2365	332.0478	57.0286	571.5028	189.685	794.0692	129.7357	321.2491	344.894
IFFO1	306.0317	366.7137	444.501	560.8247	260.5377	317.9165	238.3083	193.2194	286.2499	223.2798	37.1888	98.5042	187.7593	311.9938	99.1046	63.9044	193.8387	48.5997	145.6293	343.0649	254.3353
IFFO2	1901.2698	1123.0842	499.4908	324.2268	681.106	1334.9798	285.0752	1104.9289	1483.2678	1619.4072	508.3517	835.0967	745.332	999.2287	878.3796	607.8712	1480.0969	620.2636	1168.7304	955.192	1421.0019
IFI16	3478.7302	2005.0776	2727.0876	3726.8041	3688.5111	2667.2654	3152.9077	4120.5832	3948.2645	2857.3664	278.9159	3493.6155	4148.3402	5027.3814	1180.5616	1866.2164	2388.3697	1968.2867	1444.465	6349.6952	4077.0713
IFI27	1724.7619	1702.3037	1200.1018	1522.1649	1374.8974	1008.9807	1677.5112	874.4968	1870.2464	1241.3126	470.8478	989.4199	2292.5311	1996.9148	1069.9817	1418.366	3538.0178	13010.2965	1353.9087	5784.622	4440.5909
IFI27L1	130.1587	159.4734	129.8371	129.3814	92.2128	111.8096	91.0939	47.947	89.9041	64.8322	206.7444	116.7457	414.9378	97.5704	94.9318	90.4014	99.6885	47.3641	188.1353	100.0962	69.043
IFI27L2	427.3016	435.9191	170.0611	394.8454	201.9899	297.7099	113.0541	266.5712	420.9558	309.6295	75.6382	165.2682	293.0498	347.0883	128.3144	205.741	107.0728	116.9687	140.085	340.0706	202.9544
IFI30	2321.9048	3229.984	1288.4929	7129.0722	1247.229	569.2771	335.7056	715.7241	1255.0496	3087.6324	1200.0126	4155.3338	5188.7811	11890.86	4374.8274	3047.3256	8822.6837	6349.0651	3526.1652	7338.4451	5434.9037
IFI35	812.6984	668.3592	397.1487	529.3814	460.0881	334.5308	456.283	327.0418	515.0695	406.3189	28.0492	220.7224	501.556	1188.5847	305.6594	177.1659	947.9635	524.2998	448.346	1350.016	583.1728
IFI44	714.9206	329.8543	455.7026	366.4948	357.6294	286.035	836.9256	326.3261	308.8011	454.6636	161.0463	309.3761	1100.1037	1343.2318	337.3033	547.084	1509.6342	1181.631	490.852	2646.1341	1759.4733
IFI44L	1073.6508	426.8923	872.7088	470.1031	422.5199	268.0736	2117.5275	525.6284	537.0193	632.1137	12.9215	261.5834	1820.0207	2053.6059	622.7941	197.4282	2316.834	1549.4234	664.2026	5688.8033	3220.9377
IFI6	3716.1905	1367.5599	633.9104	897.4227	595.2359	312.5281	826.3522	611.1459	889.1187	1265.6247	271.6672	2082.8165	7068.9834	6212.4952	1523.4287	928.9518	2903.8883	5113.6738	2306.4129	7799.3797	6440.5909
IFIH1	665.0794	463.3756	429.7352	517.0103	468.3824	399.1917	826.3522	656.9461	597.7572	796.4298	669.398	748.2671	976.6598	2501.3498	1139.8766	297.1815	2903.4268	1002.883	655.7013	3785.6914	2002.2479
IFIT1	920.3175	703.338	1029.0224	852.5773	879.1927	587.3372	2040.6669	844.0827	830.7863	553.3091	26.1582	298.0664	1883.8174	1194.3695	536.2079	206.2606	2353.7556	1062.1911	612.8257	2904.0744	2197.4952
IFIT1B	0.6349	0	1.5275	0	0	5.3884	0	0.3578	0.902	0.8383	0	0	1.0373	0.3857	0.6955	0	0.923	0.4119	0	0	1.2845
IFIT2	321.9048	376.1166	670.0611	570.6186	626.4614	478.2218	1340.3823	790.0528	567.0876	484.0057	36.2433	251.3681	1534.751	1529.8882	491.3501	175.0877	2879.4277	1261.5321	301.9775	2016.4688	1307.6429
IFIT3	808.5714	717.6305	1016.2933	1099.4845	834.794	750.3368	2378.6092	892.0297	995.2597	703.9321	60.1954	540.6786	1371.3693	2345.9314	891.9412	245.7462	4594.4387	1584.4316	978.0078	4706.6624	2872.5112
IFIT5	482.8571	530.7005	436.3544	776.8041	517.6601	487.2025	932.4929	802.5763	701.7934	528.7176	253.388	248.8143	673.7552	830.698	333.826	321.6002	1243.7983	482.29	222.1401	1462.9451	1121.7084
IFITM1	4937.1429	3515.1857	2960.2851	2945.8763	2934.2203	2379.4342	3689.7113	3046.7841	4393.2749	2463.0638	298.4557	943.0865	7344.917	12948.7081	1839.8679	1624.107	6815.7379	12313.4267	2731.1033	9870.1743	4667.9512
IFITM2	5238.0952	4265.1622	4059.5723	3724.7423	5406.8889	2844.634	2978.4465	3349.8524	4389.3661	3362.0514	184.0529	830.7187	2945.0207	2364.0571	965.3134	962.2029	1066.5744	4315.8979	1878.0262	2223.9333	1063.2627
IFITM3	16465.0794	10008.8387	6080.4481	9115.9794	11565.629	8277.9524	7878.8125	9723.2311	9546.0744	8216.9195	962.1809	2359.7227	21549.2739	14140.7636	3593.8451	6700.6105	18711.8957	25601.7298	11637.7749	14109.7209	10119.1394
IFITM4P	0	0.7522	0.5092	0	1.4637	0.449	0.8133	0.7156	0	0.5589	0	0.3648	0	0	0	0	0.4615	0	0.3696	0.8555	0
IFITM5	0	0.7522	0	0	0	0	0	0	0	0	0.3152	0	0	6.1705	0	0	0	0	0.3696	0	0.3211
IFNA1	0.3175	0	0	0	0	0	0	0.3578	0.3007	0.2794	0	0.3648	0	0	0	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0.3152	0.7297	0	0.3857	0	0	0	0	0	0.8555	0
IFNA13	0.3175	0.3761	0	0	0	0.449	0	0.7156	0	0	0	0	0	0	0	0.5195	0.4615	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA21	0	0	0	0	0.9758	0	0.4067	0	0.6014	0.2794	0	0	0	0	0.3477	0	0	0	0	0	0.6423
IFNA4	0	0	0	0	0	0	0	0	0	0	0	0.3648	0	0.3857	0	0	0	0	0	0	0
IFNA5	0.3175	0.3761	0	0	0	0	0	0	0	0	0	0	0	0.3857	0	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3211
IFNA8	0.3175	0	0	0	0	0	0	0.3578	0.902	0.5589	0	0	0	0	0	0	0.4615	1.6474	0	0	0
IFNAR1	1799.3651	2224.7297	2882.3829	2799.4845	2984.9618	2727.436	3208.6214	2224.8859	2269.2523	2034.389	1335.6445	1274.3524	1310.6846	1844.5816	1023.3852	1563.8395	1640.2446	835.6672	1038.625	2661.9613	2022.4791
IFNAR2	532.9968	374.409	421.9246	522.4433	609.1996	413.0849	699.6787	534.9065	496.8902	571.2833	750.167	996.7968	364.8081	847.1847	286.5792	508.8713	660.7084	403.7068	383.9032	1194.5332	623.3943
IFNB1	0	0	0	0	0	0	0	0	0	0	0	1.0945	2.0747	2.6996	1.0432	0	1.8461	0.4119	0.7392	3.4221	0.6423
IFNE	1.9048	6.0179	0	0.5155	5.8548	2.2452	0	9.661	3.9089	7.2657	5.3577	2.9186	1.556	0	0.3477	0.5195	1.3846	6.1779	0.3696	0	5.7803
IFNG	1.9048	0.7522	0.5092	0.5155	0.9758	0.8981	0.4067	0.7156	1.2027	1.6767	0	1.0945	5.7054	87.5434	31.6439	0	81.2276	33.7727	3.6962	100.0962	22.4791
IFNGR1	3458.7302	2905.1246	4134.9287	3548.4536	3530.432	4434.6655	4479.0565	3664.0129	3546.8531	2908.785	640.7186	1638.4531	4178.9419	3424.9904	1094.671	1117.0282	2225.9144	6051.8946	2905.9324	5317.9339	1730.8927
IFNGR2	2422.5397	2436.4833	2746.945	2669.0722	2569.7554	2315.2223	3173.2412	2200.5546	2262.3366	1923.7272	2066.8137	2676.027	1817.9461	4991.9013	1650.3451	3299.6493	1560.8446	3504.5305	1775.6422	4463.266	2582.5305
IFNK	0	0	0	2.0619	0	0	0	0.3578	0	0	0	0.7297	0	0	0	0	0	0	0	0.4278	0
IFNL1	0	0.7522	0.5092	0	0	0.449	0	0	0	0.5589	0	0	11.9295	1.5426	1.0432	0.5195	0.4615	6.5898	1.8481	7.6997	1.6057
IFNL2	0	0	0	0	0	0	0	0	0	0	0	0	2.5934	1.5426	1.0432	0	0.4615	0	0	2.5666	0.3211
IFNL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6955	0	0	0	0.7392	1.2833	0.6423
IFNLR1	196.5079	109.826	14.2566	8.2474	57.572	196.6771	3.2534	157.0802	192.7376	168.5078	455.405	202.116	47.1992	87.929	241.3283	376.1527	92.3041	95.14	222.8793	160.4107	417.7906
IFNW1	0	0	1.5275	0	0	0.449	0.4067	0	0.6014	0.2794	0.3152	0	0	0	0	0	0	0	0	0.4278	0.6423
IFRD1	676.1905	619.0879	761.2016	551.5464	521.0754	896.722	882.0659	862.3312	603.1695	485.403	1109.6754	2739.1463	1717.8423	510.2198	720.8554	1353.4225	1546.0944	928.3361	2869.3402	772.5377	615.6069
IFRD2	889.8825	1013.1302	783.2637	675.732	823.8895	812.0162	664.4571	625.8699	745.9577	838.6573	469.1806	3452.2656	823.3143	1308.9086	898.4265	1135.389	1230.4142	1238.0148	1344.3134	881.0694	641.9396
IFT122	1117.1429	970.3808	784.6232	595.3608	704.5251	768.2982	859.6991	934.2517	908.6631	964.9375	1289.9464	1253.9219	281.1203	951.7933	428.7577	961.1638	644.2829	1684.1021	677.8784	914.1268	1019.2678
IFT140	750.1587	700.7052	343.1772	350	369.339	528.5137	268.4018	400.3936	597.4565	553.0296	345.7296	416.2714	228.2158	359.8149	760.4973	392.7783	280.6046	252.883	278.3219	603.9996	298.009
IFT172	820	609.685	542.2607	455.6701	465.455	649.753	455.063	548.1707	589.6388	744.4522	613.6149	699.7446	472.5104	348.6309	494.8274	311.7288	593.9772	665.9802	219.9224	440.1668	680.7964
IFT20	487.6413	358.1646	345.0967	333.933	314.5334	317.1127	201.9683	342.646	316.3904	333.6622	264.3429	335.9832	473.5581	421.184	238.1153	822.6471	206.2859	230.2965	325.341	321.1079	245.0417
IFT22	711.746	461.4951	356.4155	373.7113	459.1123	399.1917	302.9687	640.1288	539.4248	538.4983	797.3527	568.4057	733.9212	469.7262	356.081	1225.0942	260.2977	635.0906	702.2731	357.6088	459.2164
IFT27	539.6825	455.1011	336.0489	332.4742	336.6498	409.5195	376.5758	420.4312	348.4912	470.8716	404.9795	206.8588	927.3859	508.6772	202.7297	764.2551	255.6825	247.9407	131.9534	302.8553	322.0938
IFT43	394.2857	320.8275	252.0367	189.6907	260.0498	267.1756	180.5612	152.7865	255.881	248.9891	183.4226	187.8876	688.7967	280.3702	99.1046	456.1631	262.6053	214.168	159.3051	156.133	150.289
IFT46	775.2381	897.4142	582.9939	436.5979	631.8283	635.3839	638.0643	736.3807	673.2286	689.9597	678.8528	411.1638	489.6266	332.0478	229.5053	417.7166	195.2233	369.028	512.6594	334.0819	368.9788
IFT52	670.4762	698.8246	803.9715	690.7216	720.6258	641.2214	800.3253	1084.5335	861.7566	748.9234	1141.8216	1119.6644	364.6266	625.1446	695.4707	1009.4818	725.049	1102.9654	1618.1852	656.6143	849.3899
IFT57	996.8254	674.3771	714.3585	580.9278	660.6143	668.1634	441.6429	932.4627	837.4013	837.2293	734.0057	681.5031	1008.2988	893.9452	638.7899	615.6644	727.8182	1285.0082	590.2791	552.2404	637.4438
IFT74	460.9524	271.5562	261.2016	248.4536	309.3275	337.674	270.4351	362.8232	306.997	368.5933	406.2433	454.2138	405.6017	163.1315	221.8552	336.1476	381.2253	198.9292	208.8339	377.2859	262.6846
IFT80	487.9048	339.6822	330.3564	420.6701	470.734	419.8069	525.3558	719.1949	462.2846	535.5389	666.0952	651.6089	466.3122	395.457	763.3487	221.421	636.6171	395.5643	357.0726	402.327	1424.772
IFT81	369.2063	177.527	124.2363	150.5155	201.0141	255.9497	142.3343	320.9589	257.6851	315.7774	1298.1406	825.9759	110.4772	244.1188	621.0554	326.2761	353.0633	213.7562	274.2561	131.7506	522.4791
IFT88	423.8095	306.535	203.1568	201.0309	266.3925	237.9883	277.7552	338.4918	270.6144	283.3613	439.0167	195.9139	239.6266	157.3467	282.0134	184.9591	275.9894	130.972	260.9499	156.133	213.2306
IGBP1	1836.8254	1681.6173	1572.8106	1727.8351	1276.3419	1553.2106	2167.1411	2452.4555	1939.4034	1639.807	1501.4182	739.876	1170.6432	966.8338	581.4135	893.103	1090.5734	1266.4745	713.3617	1169.5006	957.9319
IGBP1P1	6.0317	6.394	4.0733	3.0928	3.4153	4.0413	2.8467	5.725	6.0137	2.515	1.2606	1.8242	3.112	0.7713	0.3477	2.0782	0.923	2.0593	1.8481	2.5666	0.6423
IGDCC3	56.1905	61.307	0	1.0309	22.4433	12.1239	0	20.7532	30.6696	10.0602	63.347	0.7297	1.556	1.157	0.3477	6.2346	0	0.8237	0.7392	4.2776	0.6423
IGDCC4	96.5079	42.5012	118.1263	179.8969	157.5911	144.5891	108.9874	281.5994	145.5304	505.8028	15.4428	16.0525	23.8589	64.0185	12.5185	42.0834	20.7684	27.5947	42.1364	90.6855	81.8882
IGF1	2423.1746	1058.3921	4955.7026	3408.7629	4116.3979	3590.0314	7900.366	1656.3199	1955.941	6036.9376	5.3577	140.8245	239.6266	298.1103	77.545	40.0052	495.6732	7.4135	321.9368	301.1443	516.0565
IGF1R	3821.5873	2695.2515	1119.1446	1207.732	2247.7474	3177.8177	1402.6027	3143.7517	3541.7415	3074.4983	4904.8219	1592.4845	348.5477	550.7135	512.5619	1867.2555	1516.5571	1660.2142	1851.0442	1272.5912	2169.878
IGF2	4283.9873	4450.5651	3702.7037	4032.701	16112.8167	6677.894	8908.7027	9677.6778	11474.8456	6406.2155	988.6543	774.5348	1172.7075	1034.3155	227.7667	645.1643	721.8322	1407.743	597.6714	1077.4334	8395.6808
IGF2-AS	6.6667	4.1373	5.0916	2.5773	6.8306	8.0826	4.0667	2.6979	6.615	22.9148	1.5758	1.8242	1.556	0.3857	0	0.5195	0.4615	1.2356	0.3696	0.8555	6.1689
IGF2BP1	0.3175	2.2567	1.0183	1.0309	0	0	0.4067	0	0	0	10.7154	6.5669	3.112	1.9283	2.4341	11.9496	9.6919	26.3591	0.7392	2.1388	10.5973
IGF2BP2	102.5397	88.7635	360.4888	124.2268	78.5516	168.388	311.9154	305.5729	201.1567	93.336	173.6527	751.9154	57.5726	35.8658	28.5143	25.9774	1701.1653	1771.8287	97.579	761.8437	2228.0026
IGF2BP2-AS1	0.3175	0	0	0	0	0.449	1.22	0	0	0	0	0	0	0	0	0	1.3846	0	0	0	0
IGF2BP3	12.381	10.1551	13.2383	39.1753	11.7096	3.1432	15.0468	8.2297	9.9225	6.1479	5.3577	379.7884	100.6224	37.4084	135.6168	141.8366	17.5378	12.3558	19.2201	81.7025	179.1908
IGF2R	2808.8889	3842.7833	6898.167	6098.4536	4885.8135	4050.2919	5968.2798	3183.8268	3323.4459	4112.372	5317.6804	7310.4706	2810.6846	2580.7944	2553.4208	650.4741	4723.6645	3313.4267	2287.932	3727.088	5103.0829
IGFALS	32.6984	10.5313	3.055	0	2.9274	3.5923	0.8133	6.7985	9.6218	17.8847	2.2061	3.6483	2.0747	0.7713	0.6955	3.6368	1.8461	0.8237	10.7189	47.9093	4.1747
